Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
POUPEHAN,6830.0,1.0,house,house,360000.0,,4.0,173.0,1.0,,,,1480.0,4.0,,10668222.0,,https://www.immoweb.be/en/classified/house/for-sale/poupehan/6830/10668222
Verviers Polleur,4800.0,1.0,house,villa,399000.0,,4.0,168.0,1.0,30.0,1.0,500.0,1107.0,4.0,1.0,10667294.0,good,https://www.immoweb.be/en/classified/villa/for-sale/verviers%20polleur/4800/10667294
Ixelles,1050.0,1.0,apartment,duplex,655000.0,,3.0,166.0,,,,,,,,10535903.0,as new,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10535903
Ixelles,1050.0,1.0,apartment,duplex,699000.0,,3.0,171.0,1.0,40.0,,,,,,10535895.0,as new,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10535895
KNOKKE,8300.0,,apartment,apartment,675000.0,,2.0,63.0,,,,,,2.0,,10481016.0,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/10481016
Knokke-Heist,8300.0,1.0,apartment,apartment,675000.0,,2.0,62.0,,,,,,2.0,,10313259.0,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10313259
Etterbeek,1040.0,0.0,apartment,ground floor,695000.0,,3.0,220.0,1.0,,,,,3.0,,10469823.0,to renovate,https://www.immoweb.be/en/classified/ground-floor/for-sale/etterbeek/1040/10469823
Knokke-Heist,8300.0,1.0,apartment,apartment,695000.0,,2.0,85.0,1.0,6.0,,,,2.0,,10572766.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10572766
Uccle,1180.0,,apartment,apartment,700000.0,,3.0,195.0,1.0,45.0,,,,3.0,,10608436.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10608436
Ixeles,1050.0,1.0,apartment,ground floor,745000.0,,2.0,180.0,1.0,37.0,1.0,37.0,,2.0,,10623556.0,just renovated,https://www.immoweb.be/en/classified/ground-floor/for-sale/ixeles/1050/10623556
Bruxelles,1000.0,1.0,apartment,apartment,720000.0,,3.0,202.0,1.0,8.0,,,,4.0,,10641192.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10641192
Uccle,1180.0,1.0,apartment,duplex,695000.0,,2.0,160.0,1.0,,1.0,100.0,,2.0,,10315011.0,as new,https://www.immoweb.be/en/classified/duplex/for-sale/uccle/1180/10315011
Antwerpen,2000.0,1.0,apartment,duplex,795000.0,,2.0,249.0,,,1.0,18.0,,2.0,,10571012.0,good,https://www.immoweb.be/en/classified/duplex/for-sale/antwerpen/2000/10571012
Knokke-Heist,8300.0,1.0,apartment,apartment,749000.0,,2.0,90.0,1.0,2.0,,,,2.0,,10599713.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10599713
Bruxelles,1000.0,,apartment,apartment,720000.0,,3.0,219.0,,,,,,2.0,,10583711.0,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10583711
Bruxelles,1000.0,1.0,apartment,triplex,775000.0,,3.0,179.0,1.0,,,,,2.0,,10626024.0,as new,https://www.immoweb.be/en/classified/triplex/for-sale/bruxelles/1000/10626024
Saint-Gilles,1060.0,1.0,apartment,ground floor,745000.0,,2.0,180.0,1.0,37.0,1.0,37.0,,2.0,,10591526.0,just renovated,https://www.immoweb.be/en/classified/ground-floor/for-sale/saint-gilles/1060/10591526
Knokke-Heist,8300.0,1.0,apartment,penthouse,750000.0,,2.0,92.0,1.0,50.0,,,,2.0,,10625247.0,good,https://www.immoweb.be/en/classified/penthouse/for-sale/knokke-heist/8300/10625247
Knokke-Heist,8300.0,1.0,apartment,apartment,830000.0,,3.0,87.0,1.0,,,,,2.0,,10566856.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10566856
