Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Blankenberge,8370,1,apartment,apartment,289000,,2,68,1,,,,,,,10668605,good,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10668605
,Ninove,9400,1,house,mansion,615000,,5,450,1,,1,1100,1260,4,,10663833,good,https://www.immoweb.be/en/classified/mansion/for-sale/ninove/9400/10663833
,Gavere,9890,1,apartment,apartment,269000,,1,76,1,11,,,,4,,10656488,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656488
,Russeignies,7750,1,house,house,275000,,5,172,1,80,1,210,818,4,,10660333,good,https://www.immoweb.be/en/classified/house/for-sale/russeignies/7750/10660333
,Linkebeek,1630,1,house,house,495000,,3,161,1,,,,303,3,,10672578,good,https://www.immoweb.be/en/classified/house/for-sale/linkebeek/1630/10672578
,Gent,9000,1,house,house,272000,,3,119,,,,,55,2,,10660214,good,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10660214
,Lede,9340,1,house,house,219000,,3,170,1,,1,450,564,3,,10660142,to be done up,https://www.immoweb.be/en/classified/house/for-sale/lede/9340/10660142
,Dendermonde,9200,1,house,house,599000,,4,378,,,,,571,3,,10659704,to be done up,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/10659704
,Merendree,9850,1,house,house,435000,,4,165,1,25,1,110,196,3,,10669126,as new,https://www.immoweb.be/en/classified/house/for-sale/merendree/9850/10669126
,Knokke-Heist,8300,1,house,house,1250000,,5,182,1,,,,145,2,,10493036,good,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/10493036
,Gavere,9890,1,apartment,apartment,316000,,2,97,1,10,,,,4,,10656495,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656495
,Drogenbos,1620,1,house,house,495000,,3,161,1,,,,303,3,,10671527,good,https://www.immoweb.be/en/classified/house/for-sale/drogenbos/1620/10671527
,Libin,6890,0,house,house,299900,,3,124,1,8,1,257,320,3,,10657263,as new,https://www.immoweb.be/en/classified/house/for-sale/libin/6890/10657263
,Woluwe-Saint-Pierre,1150,1,house,house,795000,,4,185,1,,1,300,392,3,,10671672,good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10671672
,Dendermonde,9200,1,house,mixed use building,599000,,4,378,,,,,571,3,,10659705,to be done up,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/dendermonde/9200/10659705
,Asse Zellik,1731,1,house,house,485000,,6,290,1,,1,701,701,2,,10671473,to be done up,https://www.immoweb.be/en/classified/house/for-sale/asse%20zellik/1731/10671473
,Etterbeek,1040,1,house,house,1295000,,6,400,1,15,,,380,2,,10673633,good,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10673633
,Huy,4500,1,house,house,189000,,3,150,,,1,2300,2450,2,,10658676,just renovated,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10658676
,Dendermonde,9200,1,house,house,599000,,4,378,,,,,571,3,,10659534,to be done up,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/10659534
,Leuven,3010,1,house,house,379000,,3,111,,,1,73,131,2,,10658498,good,https://www.immoweb.be/en/classified/house/for-sale/leuven/3010/10658498
,Rixensart,1330,1,house,house,399000,,3,173,1,15,1,333,428,3,,10657873,to renovate,https://www.immoweb.be/en/classified/house/for-sale/rixensart/1330/10657873
,Auderghem,1160,1,house,house,549000,,5,200,1,18,,,94,3,,10672355,good,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/10672355
